Cohort,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,1.0,0.3818565400843882,0.33438818565400846,0.3871308016877637,0.35970464135021096,0.39662447257383965,0.379746835443038,0.35443037974683544,0.35443037974683544,0.39451476793248946,0.37341772151898733,0.5,0.2742616033755274
2011-01,1.0,0.23990498812351543,0.2826603325415677,0.24228028503562946,0.32779097387173395,0.2992874109263658,0.26128266033254155,0.25653206650831356,0.31116389548693585,0.34679334916864607,0.3681710213776722,0.1496437054631829,
2011-02,1.0,0.24736842105263157,0.19210526315789472,0.2789473684210526,0.26842105263157895,0.24736842105263157,0.25526315789473686,0.28157894736842104,0.2578947368421053,0.3131578947368421,0.09210526315789473,,
2011-03,1.0,0.19090909090909092,0.2545454545454545,0.21818181818181817,0.2318181818181818,0.17727272727272728,0.2636363636363636,0.23863636363636365,0.28863636363636364,0.08863636363636364,,,
2011-04,1.0,0.22742474916387959,0.22073578595317725,0.21070234113712374,0.20735785953177258,0.23745819397993312,0.23076923076923078,0.2608695652173913,0.08361204013377926,,,,
2011-05,1.0,0.23655913978494625,0.17204301075268819,0.17204301075268819,0.21505376344086022,0.24372759856630824,0.26523297491039427,0.1039426523297491,,,,,
2011-06,1.0,0.20851063829787234,0.18723404255319148,0.2723404255319149,0.24680851063829787,0.33617021276595743,0.10212765957446808,,,,,,
2011-07,1.0,0.2094240837696335,0.20418848167539266,0.23036649214659685,0.27225130890052357,0.11518324607329843,,,,,,,
2011-08,1.0,0.25149700598802394,0.25149700598802394,0.25149700598802394,0.1377245508982036,,,,,,,,
2011-09,1.0,0.2986577181208054,0.32550335570469796,0.12080536912751678,,,,,,,,,
2011-10,1.0,0.26420454545454547,0.13068181818181818,,,,,,,,,,
2011-11,1.0,0.134375,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,
